# SUBTLEX-US word frequencies (Brysbaert & New 2009; Zipf scale per Van Heuven et al. 2014)
# word	zipf	dominant_part_of_speech
standing	4.893	Verb
mess	4.892	Noun
america	4.891	Name
chief	4.891	Noun
killing	4.89	Verb
radio	4.887	Noun
brain	4.886	Noun
hungry	4.886	Adjective
marriage	4.886	Noun
problems	4.886	Noun
soul	4.886	Noun
forgive	4.885	Verb
deep	4.883	Adjective
drunk	4.883	Adjective
henry	4.883	Name
figured	4.882	Verb
likes	4.882	Verb
folks	4.881	Noun
during	4.88	Preposition
private	4.88	Adjective
slow	4.88	Adjective
attack	4.878	Noun
beer	4.877	Noun
stopped	4.877	Verb
partner	4.876	Noun
walking	4.875	Verb
area	4.874	Noun
offer	4.873	Verb
scene	4.873	Noun
third	4.872	Number
upset	4.872	Verb
bus	4.87	Noun
owe	4.87	Verb
shoes	4.87	Noun
driving	4.869	Verb
english	4.869	Noun
richard	4.868	Name
group	4.867	Noun
kick	4.865	Verb
evil	4.864	Adjective
fell	4.863	Verb
joey	4.863	Name
joke	4.863	Noun
teach	4.862	Verb
truck	4.862	Noun
green	4.86	Adjective
ground	4.86	Noun
loves	4.86	Verb
cash	4.859	Noun
forward	4.859	Adverb
honest	4.859	Adjective
park	4.858	Noun
position	4.857	Noun
single	4.857	Adjective
respect	4.854	Noun
broken	4.852	Verb
crime	4.852	Noun
wrote	4.852	Verb
max	4.851	Name
public	4.851	Adjective
art	4.85	Noun
fighting	4.85	Verb
grab	4.85	Verb
mommy	4.85	Noun
favor	4.849	Noun
force	4.849	Noun
seconds	4.849	Noun
upstairs	4.849	Adverb
wall	4.849	Noun
jail	4.848	Noun
push	4.848	Verb
normal	4.847	Adjective
prove	4.847	Verb
field	4.846	Noun
machine	4.846	Noun
protect	4.846	Verb
feels	4.845	Verb
spent	4.845	Verb
jump	4.844	Verb
named	4.844	Verb
speaking	4.844	Verb
church	4.843	Noun
hide	4.843	Verb
nose	4.843	Noun
saved	4.843	Verb
starting	4.843	Verb
sun	4.843	Noun
bobby	4.842	Name
peace	4.842	Noun
share	4.842	Verb
bullshit	4.841	Noun
french	4.841	Adjective
steve	4.841	Name
holding	4.84	Verb
moved	4.84	Verb
paris	4.84	Name
picked	4.84	Verb
thousand	4.84	Noun
billy	4.839	Name
fear	4.839	Noun
using	4.839	Verb
tape	4.837	Noun
suit	4.836	Noun
tony	4.836	Name
holy	4.833	Adjective
pictures	4.833	Noun
involved	4.832	Verb
putting	4.832	Verb
books	4.831	Noun
gas	4.831	Noun
neither	4.83	Adverb
nine	4.829	Number
pop	4.829	Interjection
bother	4.828	Verb
rules	4.828	Noun
nervous	4.827	Adjective
whether	4.826	Conjunction
dying	4.825	Verb
round	4.823	Adjective
stuck	4.823	Verb
dirty	4.822	Adjective
cat	4.821	Noun
idiot	4.82	Noun
lived	4.819	Verb
prison	4.819	Noun
space	4.819	Noun
carry	4.818	Verb
james	4.818	Name
bastard	4.817	Noun
cry	4.817	Verb
arm	4.815	Noun
smoke	4.815	Verb
film	4.814	Noun
foot	4.812	Noun
tree	4.812	Noun
contact	4.811	Noun
agree	4.81	Verb
knock	4.81	Verb
pardon	4.81	Noun
dreams	4.809	Noun
gift	4.809	Noun
gives	4.809	Verb
south	4.809	Noun
board	4.807	Noun
hat	4.807	Noun
jim	4.807	Name
sake	4.807	Noun
north	4.805	Noun
patient	4.803	Noun
awful	4.802	Adjective
roll	4.801	Verb
sad	4.801	Adjective
robert	4.8	Name
grand	4.799	Adjective
usually	4.799	Adverb
doubt	4.798	Verb
killer	4.798	Noun
laugh	4.798	Verb
sergeant	4.798	Noun
double	4.797	Adjective
upon	4.797	Preposition
twice	4.796	Adverb
outta	4.795	Noun
whose	4.795	Determiner
guilty	4.794	Adjective
plenty	4.794	Pronoun
jerry	4.793	Name
promised	4.793	Verb
fired	4.792	Verb
race	4.791	Noun
bathroom	4.79	Noun
chicken	4.79	Noun
crap	4.79	Noun
asshole	4.789	Noun
spot	4.789	Noun
orders	4.788	Noun
reading	4.788	Verb
weekend	4.786	Noun
action	4.785	Noun
sheriff	4.785	Noun
eating	4.784	Verb
glass	4.783	Noun
guns	4.782	Noun
type	4.782	Noun
west	4.782	Noun
wine	4.78	Noun
brown	4.779	Name
lots	4.779	Pronoun
luke	4.779	Name
press	4.779	Noun
nick	4.778	Name
rid	4.777	Verb
sea	4.777	Noun
arms	4.776	Noun
flight	4.775	Noun
staying	4.775	Verb
arrest	4.774	Noun
favorite	4.774	Adjective
grow	4.774	Verb
mention	4.774	Verb
neck	4.774	Noun
sleeping	4.773	Verb
wind	4.773	Noun
admit	4.772	Verb
extra	4.772	Adjective
notice	4.772	Verb
within	4.772	Preposition
computer	4.771	Noun
gay	4.771	Adjective
low	4.771	Adjective
angry	4.77	Adjective
bunch	4.77	Noun
blame	4.769	Verb
pants	4.769	Noun
clock	4.768	Noun
tea	4.768	Noun
visit	4.768	Verb
fellow	4.767	Noun
hole	4.765	Noun
kitchen	4.765	Noun
lay	4.765	Verb
guard	4.764	Noun
learned	4.764	Verb
smile	4.763	Noun
feelings	4.76	Noun
fit	4.76	Verb
pal	4.76	Noun
bear	4.759	Noun
often	4.758	Adverb
wild	4.758	Adjective
silly	4.756	Adjective
begin	4.755	Verb
camera	4.755	Noun
reach	4.755	Verb
beach	4.753	Noun
larry	4.753	Name
heaven	4.752	Noun
leg	4.752	Noun
lock	4.752	Verb
quickly	4.752	Adverb
kelly	4.751	Name
lights	4.751	Noun
played	4.75	Verb
shooting	4.75	Verb
worst	4.75	Adjective
bucks	4.749	Noun
plans	4.749	Noun
suddenly	4.747	Adverb
writing	4.747	Verb
teacher	4.746	Noun
track	4.746	Noun
legs	4.745	Noun
river	4.744	Noun
dare	4.743	Verb
burn	4.742	Verb
aunt	4.741	Noun
raise	4.741	Verb
rory	4.741	Name
shh	4.741	Interjection
cross	4.74	Verb
decision	4.74	Noun
cost	4.739	Verb
queen	4.737	Noun
fresh	4.736	Adjective
innocent	4.736	Adjective
cell	4.735	Noun
dancing	4.735	Verb
medical	4.735	Adjective
bigger	4.734	Adjective
gotten	4.734	Verb
seemed	4.734	Verb
closed	4.733	Verb
states	4.733	Name
names	4.731	Noun
bomb	4.729	Noun
hanging	4.729	Verb
walked	4.729	Verb
note	4.728	Noun
nuts	4.728	Noun
shop	4.728	Noun
sweetie	4.728	Noun
band	4.727	Noun
losing	4.727	Verb
price	4.727	Noun
steal	4.727	Verb
client	4.726	Noun
waste	4.726	Verb
code	4.725	Noun
crying	4.725	Verb
pressure	4.725	Noun
stole	4.725	Verb
dick	4.724	Noun
dogs	4.724	Noun
places	4.724	Noun
rose	4.724	Noun
accept	4.722	Verb
further	4.722	Adverb
aah	4.721	Interjection
drinking	4.721	Verb
magic	4.721	Noun
corner	4.72	Noun
keeps	4.72	Verb
acting	4.719	Verb
consider	4.719	Verb
herself	4.719	Pronoun
locked	4.719	Verb
address	4.718	Noun
copy	4.718	Noun
laughing	4.718	Verb
tells	4.718	Verb
warm	4.717	Adjective
pregnant	4.716	Adjective
sold	4.716	Verb
hall	4.715	Noun
treat	4.715	Verb
van	4.714	Name
complete	4.713	Adjective
cup	4.713	Noun
papers	4.713	Noun
level	4.712	Noun
passed	4.712	Verb
ways	4.712	Noun
taste	4.71	Noun
witness	4.71	Noun
camp	4.709	Noun
hardly	4.709	Adverb
charles	4.708	Name
keeping	4.708	Verb
beg	4.707	Verb
duty	4.707	Noun
interest	4.707	Noun
keys	4.707	Noun
yep	4.707	Interjection
tight	4.706	Adverb
bottle	4.705	Noun
helping	4.705	Verb
support	4.705	Noun
leo	4.704	Name
flying	4.703	Verb
decide	4.702	Verb
united	4.701	Name
turns	4.699	Verb
bottom	4.698	Noun
hoping	4.698	Verb
moon	4.698	Noun
asleep	4.697	Adjective
hero	4.697	Noun
roger	4.697	Name
san	4.697	Name
final	4.696	Adjective
continue	4.695	Verb
east	4.695	Noun
match	4.694	Noun
spirit	4.693	Noun
trial	4.693	Noun
chair	4.692	Noun
willing	4.692	Adjective
amy	4.69	Name
risk	4.69	Noun
study	4.69	Noun
above	4.689	Preposition
possibly	4.689	Adverb
rain	4.689	Noun
cousin	4.688	Noun
pulled	4.688	Verb
cream	4.687	Noun
dropped	4.687	Verb
excited	4.686	Adjective
memory	4.686	Noun
breathe	4.685	Verb
enemy	4.685	Noun
drugs	4.684	Noun
greatest	4.684	Adjective
huge	4.684	Adjective
search	4.684	Noun
beauty	4.683	Noun
lately	4.683	Adverb
tommy	4.683	Name
build	4.682	Verb
rule	4.682	Noun
advice	4.681	Noun
cards	4.681	Noun
choose	4.681	Verb
lee	4.681	Name
became	4.679	Verb
teeth	4.679	Noun
victim	4.678	Noun
coach	4.677	Noun
crew	4.677	Noun
flowers	4.677	Noun
friday	4.677	Name
showed	4.677	Verb
saturday	4.676	Name
driver	4.675	Noun
empty	4.674	Adjective
heavy	4.674	Adjective
trick	4.674	Noun
destroy	4.673	Verb
apart	4.672	Adverb
